pass.fname,pass.lname,pass.dob,pass.age,pass.gender,pass.status,home.address,home.city,home.prov,home.country,emerg.contact.fname,emerg.contact.lname,emerg.contact.relationship,emerg.contact.phone,board.date,board.location
Colton,Burgess,1994-05-19,30,Male,Gold,"4711 Fisher Track Street, Victoria, British Columbia, L7V 4N8, Canada",Victoria,BC,Canada,Nancy,Brown,Relative,(790) 552-8183,2025-02-09,"Halifax, NS"
Donald,Meyer,1983-07-11,41,Male,Gold,"1901 Brock Courts Street, Saskatoon, Saskatchewan, X2J1N5, Canada",Saskatoon,SK,Canada,Melissa,Wilkinson,Relative,(242) 437-5402,2025-02-09,"Halifax, NS"
Thomas,Oneill,1984-07-29,40,Male,Gold,"1901 Brock Courts Street, Saskatoon, Saskatchewan, X2J1N5, Canada",Saskatoon,SK,Canada,Melissa,Wilkinson,Relative,(242) 437-5402,2025-02-09,"Halifax, NS"
Antonio,Cantrell,1977-09-10,47,Male,Silver,"1568 Garcia Meadow Drive, Laval, Quebec, C4J 5B9, Canada",Laval,QC,Canada,Rachael,Wang,Relative,(018) 718-6375,2025-02-09,"Halifax, NS"
Bradley,Saunders,1978-05-16,46,Male,Silver,"1568 Garcia Meadow Drive, Laval, Quebec, C4J 5B9, Canada",Laval,QC,Canada,Rachael,Wang,Relative,(018) 718-6375,2025-02-09,"Halifax, NS"
Michael,Butler,1999-06-08,25,Male,Gold,"6427 Joanne Inlet Terrace, Toronto, Ontario, R6N9Y5, Canada",Toronto,ON,Canada,Barbara,Anderson,Other,(232) 161-1076,2025-02-09,"Halifax, NS"
Elizabeth,Jones,1993-03-09,31,Female,Gold,"6427 Joanne Inlet Terrace, Toronto, Ontario, R6N9Y5, Canada",Toronto,ON,Canada,Barbara,Anderson,Other,(232) 161-1076,2025-02-09,"Halifax, NS"
Jennifer,Palmer,1971-12-11,53,Female,Platinum,"3983 Benjamin Locks Boulevard, Lethbridge, Alberta, C2C 8V8, Canada",Lethbridge,AB,Canada,Christopher,Mason,Relative,(119) 083-3428,2025-02-09,"Halifax, NS"
Christopher,Palmer,1975-02-10,50,Male,Platinum,"3983 Benjamin Locks Boulevard, Lethbridge, Alberta, C2C 8V8, Canada",Lethbridge,AB,Canada,Christopher,Mason,Relative,(119) 083-3428,2025-02-09,"Halifax, NS"
Laura,Lamb,1983-10-17,41,Female,Platinum,"1469 Amy Views Road, Surrey, British Columbia, K9C 3C7, Canada",Surrey,BC,Canada,Cynthia,Allen,Relative,(303) 477-8660,2025-02-09,"Halifax, NS"
Keith,Lamb,1981-10-17,43,Male,Platinum,"1469 Amy Views Road, Surrey, British Columbia, K9C 3C7, Canada",Surrey,BC,Canada,Cynthia,Allen,Relative,(303) 477-8660,2025-02-09,"Halifax, NS"
Tanya,Clarke,1987-12-25,37,Female,Silver,"4797 Glass Ford Avenue, Saskatoon, Saskatchewan, V8S8K3, Canada",Saskatoon,SK,Canada,Nicholas,Fitzpatrick,Relative,(391) 559-6363,2025-02-09,"Halifax, NS"
Kaitlyn,Lewis,1979-04-03,45,Female,Silver,"2611 Baker Stravenue Boulevard, Kelowna, British Columbia, A5P3M6, Canada",Kelowna,BC,Canada,Lisa,Skinner,Other,(451) 837-6064,2025-02-09,"Halifax, NS"
Melanie,Lewis-Smith,1981-04-02,43,Female,Silver,"2611 Baker Stravenue Boulevard, Kelowna, British Columbia, A5P3M6, Canada",Kelowna,BC,Canada,Lisa,Skinner,Other,(451) 837-6064,2025-02-09,"Halifax, NS"
Bradley,Moon,1978-01-28,47,Male,Gold,"4414 Sheila Harbors Boulevard, Kelowna, British Columbia, M8C 4P4, Canada",Kelowna,BC,Canada,Martin,Smith,Relative,(459) 112-3829,2025-02-09,"Halifax, NS"
Roberta,Moon,1984-01-27,41,Female,Gold,"4414 Sheila Harbors Boulevard, Kelowna, British Columbia, M8C 4P4, Canada",Kelowna,BC,Canada,Martin,Smith,Relative,(459) 112-3829,2025-02-09,"Halifax, NS"
Christopher,Serrano,1995-03-12,29,Male,Silver,"3107 Knight Circle Avenue, Calgary, Alberta, M3V2E6, Canada",Calgary,AB,Canada,Brittany,Rubio,Relative,(910) 867-7133,2025-02-09,"Halifax, NS"
Emily,Serrano,1999-03-11,25,Female,Silver,"3107 Knight Circle Avenue, Calgary, Alberta, M3V2E6, Canada",Calgary,AB,Canada,Brittany,Rubio,Relative,(910) 867-7133,2025-02-09,"Halifax, NS"
Bobby,Long,1980-07-09,44,Male,Silver,"5314 Malone Canyon Court, Steinbach, Manitoba, S4P 2J8, Canada",Steinbach,MB,Canada,Robert,Manning,Relative,(961) 642-3610,2025-02-09,"Halifax, NS"
Melissa,Long,1988-05-19,36,Female,Silver,"5314 Malone Canyon Court, Steinbach, Manitoba, S4P 2J8, Canada",Steinbach,MB,Canada,Robert,Manning,Relative,(961) 642-3610,2025-02-09,"Halifax, NS"
Benjamin,Patterson,1969-08-06,55,Male,Gold,"6557 Gary Villages Road, Laval, Quebec, V7G 7X4, Canada",Laval,QC,Canada,Sarah,Williams,Other,(945) 232-1941,2025-02-09,"Halifax, NS"
Jason,Patterson,1973-02-05,52,Male,Gold,"6557 Gary Villages Road, Laval, Quebec, V7G 7X4, Canada",Laval,QC,Canada,Sarah,Williams,Other,(945) 232-1941,2025-02-09,"Halifax, NS"
Jennifer,Petty,1962-01-11,63,Female,Silver,"9468 Alexander Wall Street, Red Deer, Alberta, E6C 2N9, Canada",Red Deer,AB,Canada,Alisha,Roberts,Relative,(757) 383-9597,2025-02-09,"Halifax, NS"
Colin,Manderson,1959-01-12,66,Male,Silver,"9468 Alexander Wall Street, Red Deer, Alberta, E6C 2N9, Canada",Red Deer,AB,Canada,Alisha,Roberts,Relative,(757) 383-9597,2025-02-09,"Halifax, NS"
Virginia,Moyer,1986-05-19,38,Female,Silver,"2648 Jason Knoll Boulevard, Montreal, Quebec, L2P 1P6, Canada",Montreal,QC,Canada,Dean,Rhodes,Other,(801) 561-9318,2025-02-09,"Halifax, NS"
Stephen,Moyer,1979-05-19,45,Male,Silver,"2648 Jason Knoll Boulevard, Montreal, Quebec, L2P 1P6, Canada",Montreal,QC,Canada,Dean,Rhodes,Other,(801) 561-9318,2025-02-09,"Halifax, NS"
Beth,Hammond,1957-07-18,67,Female,Silver,"451 Obrien Crest Court, Laval, Quebec, H9M5A6, Canada",Laval,QC,Canada,Michelle,Gill,Relative,(213) 760-3754,2025-02-09,"Halifax, NS"
Kevin,Hammond,1956-04-27,68,Male,Silver,"451 Obrien Crest Court, Laval, Quebec, H9M5A6, Canada",Laval,QC,Canada,Michelle,Gill,Relative,(213) 760-3754,2025-02-09,"Halifax, NS"
Nathan,Ward,1971-04-19,53,Male,Silver,"3865 Brenda Inlet Terrace, Winnipeg, Manitoba, M8K9S1, Canada",Winnipeg,MB,Canada,Terri,Miller,Relative,(029) 084-6684,2025-02-09,"Halifax, NS"
Natasha,Sherman,1990-05-27,34,Female,Silver,"6661 Cynthia Burg Crescent, Saskatoon, Saskatchewan, G2K6K5, Canada",Saskatoon,SK,Canada,Krystal,Kline,Relative,(935) 449-2683,2025-02-09,"Halifax, NS"
Nathan,Beck,1959-06-19,65,Male,Gold,"2196 Hernandez Gateway Crescent, Montreal, Quebec, B6J6G4, Canada",Montreal,QC,Canada,Cheryl,Montgomery,Relative,(098) 378-0182,2025-02-09,"Halifax, NS"
Richard,Beck,1962-06-18,62,Male,Gold,"2196 Hernandez Gateway Crescent, Montreal, Quebec, B6J6G4, Canada",Montreal,QC,Canada,Cheryl,Montgomery,Relative,(098) 378-0182,2025-02-09,"Halifax, NS"
Debbie,Chapman,1967-02-11,57,Female,Silver,"7774 Gardner Highway Lane, Kingston, Ontario, E2A5R5, Canada",Kingston,ON,Canada,Michael,Owens,Other,(046) 875-0635,2025-02-09,"Halifax, NS"
Stephen,Chapman,1969-09-10,55,Male,Silver,"7774 Gardner Highway Lane, Kingston, Ontario, E2A5R5, Canada",Kingston,ON,Canada,Michael,Owens,Other,(046) 875-0635,2025-02-09,"Halifax, NS"
Isaiah,Patton,1959-01-13,66,Male,Silver,"6276 Smith Flats Boulevard, Kelowna, British Columbia, B7C 1G4, Canada",Kelowna,BC,Canada,Megan,Johnson,Other,(091) 939-2845,2025-02-09,"Halifax, NS"
Jeremy,Thompson,1976-09-09,48,Male,Gold,"7389 Turner Green Street, Calgary, Alberta, B2S9V1, Canada",Calgary,AB,Canada,Robert,Guerrero,Relative,(233) 865-5963,2025-02-09,"Halifax, NS"
Joshua,Walters,1973-05-08,51,Male,Gold,"7389 Turner Green Street, Calgary, Alberta, B2S9V1, Canada",Calgary,AB,Canada,Robert,Guerrero,Relative,(233) 865-5963,2025-02-09,"Halifax, NS"
Jennifer,Lee,1956-01-19,69,Female,Gold,"9634 Suzanne Gateway Lane, Toronto, Ontario, E2K9T1, Canada",Toronto,ON,Canada,Nathaniel,Clark,Other,(898) 775-1536,2025-02-09,"Halifax, NS"
Michael,Lee,1958-01-18,67,Male,Gold,"9634 Suzanne Gateway Lane, Toronto, Ontario, E2K9T1, Canada",Toronto,ON,Canada,Nathaniel,Clark,Other,(898) 775-1536,2025-02-09,"Halifax, NS"
Brianna,Farrell,1947-06-09,77,Female,Platinum,"6137 Castaneda Islands Boulevard, Sherbrooke, Quebec, H5M 2C8, Canada",Sherbrooke,QC,Canada,Alexander,Floyd,Relative,(259) 999-6636,2025-02-09,"Halifax, NS"
Jennifer,Medina,1952-07-12,72,Female,Silver,"6562 Meghan Rapids Avenue, Montreal, Quebec, G1V1M2, Canada",Montreal,QC,Canada,Mark,Lowe,Relative,(360) 041-2577,2025-02-09,"Halifax, NS"
Cassidy,Medina,1954-04-12,70,Male,Silver,"6562 Meghan Rapids Avenue, Montreal, Quebec, G1V1M2, Canada",Montreal,QC,Canada,Mark,Lowe,Relative,(360) 041-2577,2025-02-09,"Halifax, NS"
Margaret,Hoover,1955-04-23,69,Female,Gold,"5702 Debbie Club Drive, Ottawa, Ontario, R4M3J6, Canada",Ottawa,ON,Canada,James,Stewart,Relative,(495) 013-6497,2025-02-09,"Halifax, NS"
Cynthia,Hoover,1999-08-20,25,Female,Gold,"5702 Debbie Club Drive, Ottawa, Ontario, R4M3J6, Canada",Ottawa,ON,Canada,James,Stewart,Relative,(495) 013-6497,2025-02-09,"Halifax, NS"
David,Parker,1981-01-02,44,Male,Silver,"7941 Carney Courts Boulevard, Surrey, British Columbia, V7X1R4, Canada",Surrey,BC,Canada,Mason,Hodges,Relative,(533) 803-3968,2025-02-09,"Halifax, NS"
Haley,Parker,1983-10-10,41,Female,Silver,"7941 Carney Courts Boulevard, Surrey, British Columbia, V7X1R4, Canada",Surrey,BC,Canada,Mason,Hodges,Relative,(533) 803-3968,2025-02-09,"Halifax, NS"
Latasha,Larson,1982-04-14,42,Female,Platinum,"2659 Melissa Wells Street, Edmonton, Alberta, T2H 3X8, Canada",Edmonton,AB,Canada,Jacqueline,Sullivan,Other,(916) 016-9236,2025-02-09,"Halifax, NS"
Matthew,Hicks,1966-02-12,58,Male,Gold,"3303 George Views Court, Halifax, Nova Scotia, C9B5N7, Canada",Halifax,NS,Canada,Sydney,Sanders,Relative,(183) 626-4488,2025-02-09,"Halifax, NS"
Dana,Hicks,1963-02-13,61,Female,Gold,"3303 George Views Court, Halifax, Nova Scotia, C9B5N7, Canada",Halifax,NS,Canada,Sydney,Sanders,Relative,(183) 626-4488,2025-02-09,"Halifax, NS"
Tyler,Miller,1979-10-17,45,Male,Gold,"2149 Ashley Park Lane, Victoria, British Columbia, S3S 4V3, Canada",Victoria,BC,Canada,Victoria,Juarez,Relative,(555) 535-6690,2025-02-09,"Halifax, NS"
Amanda,Frazier,1948-06-20,76,Female,Silver,"8693 Deborah Vista Court, Red Deer, Alberta, N8E 2R5, Canada",Red Deer,AB,Canada,John,Myers,Relative,(675) 661-8443,2025-02-09,"Halifax, NS"
Sherry,Parsons,1991-10-30,33,Female,Silver,"9355 Lewis Locks Lane, Steinbach, Manitoba, L5L9T2, Canada",Steinbach,MB,Canada,Kenneth,Armstrong,Relative,(676) 492-1518,2025-02-09,"Halifax, NS"
Jacob,Parsons,1987-10-31,37,Male,Silver,"9355 Lewis Locks Lane, Steinbach, Manitoba, L5L9T2, Canada",Steinbach,MB,Canada,Kenneth,Armstrong,Relative,(676) 492-1518,2025-02-09,"Halifax, NS"
Kaitlyn,Thomas,1993-11-10,31,Female,Platinum,"5806 Charles Forest Lane, Toronto, Ontario, G1Y8T4, Canada",Toronto,ON,Canada,Teresa,Thomas,Relative,(143) 598-9262,2025-02-09,"Halifax, NS"
Lisa,Gray,1986-07-27,38,Female,Gold,"8396 Phillip Canyon Drive, London, Ontario, V6V1C7, Canada",London,ON,Canada,Heidi,Cook,Other,(016) 361-1284,2025-02-09,"Halifax, NS"
Mark,Gray,1982-03-21,42,Female,Gold,"8396 Phillip Canyon Drive, London, Ontario, V6V1C7, Canada",London,ON,Canada,Heidi,Cook,Other,(016) 361-1284,2025-02-09,"Halifax, NS"
Christopher,Jackson,1979-02-11,45,Male,Silver,"4768 Clark Mills Terrace, London, Ontario, C1H 2S2, Canada",London,ON,Canada,Jose,Moore,Relative,(269) 405-3967,2025-02-09,"Halifax, NS"
Marcia,Jackson,1973-02-12,51,Female,Silver,"4768 Clark Mills Terrace, London, Ontario, C1H 2S2, Canada",London,ON,Canada,Jose,Moore,Relative,(269) 405-3967,2025-02-09,"Halifax, NS"
Terri,Wolfe,1971-04-30,53,Female,Silver,"9377 Krista Viaduct Court, Montreal, Quebec, R1L 2B7, Canada",Montreal,QC,Canada,Tiffany,Henderson,Relative,(381) 447-4430,2025-02-09,"Halifax, NS"
Whitney,Castillo,1986-07-30,38,Female,Gold,"1522 Rodriguez Ramp Lane, Kingston, Ontario, K2G 4S9, Canada",Kingston,ON,Canada,Lisa,Lopez,Other,(231) 260-4326,2025-02-09,"Halifax, NS"
Eric,Castillo,1984-08-29,40,Male,Gold,"1522 Rodriguez Ramp Lane, Kingston, Ontario, K2G 4S9, Canada",Kingston,ON,Canada,Lisa,Lopez,Other,(231) 260-4326,2025-02-09,"Halifax, NS"
Ellen,Green,1965-07-07,59,Female,Silver,"2383 April Ports Court, Montreal, Quebec, K4L3E9, Canada",Montreal,QC,Canada,Gregory,Jacobs,Other,(426) 945-0053,2025-02-09,"Halifax, NS"
Marcus,Green,1962-03-08,62,Female,Silver,"2383 April Ports Court, Montreal, Quebec, K4L3E9, Canada",Montreal,QC,Canada,Gregory,Jacobs,Other,(426) 945-0053,2025-02-09,"Halifax, NS"
Laurie,Medina,1970-10-01,54,Female,Silver,"9220 Ellis Ports Court, Quebec City, Quebec, X4R 3P2, Canada",Quebec City,QC,Canada,Nicholas,Hamilton,Other,(717) 272-2397,2025-02-09,"Halifax, NS"
Robert,Medina,1971-10-01,53,Male,Silver,"9220 Ellis Ports Court, Quebec City, Quebec, X4R 3P2, Canada",Quebec City,QC,Canada,Nicholas,Hamilton,Other,(717) 272-2397,2025-02-09,"Halifax, NS"
Corey,Collins,1971-03-18,53,Male,Silver,"7055 Shane Turnpike Road, Laval, Quebec, A8V 5A2, Canada",Laval,QC,Canada,Maria,Williams,Relative,(142) 900-1851,2025-02-09,"Halifax, NS"
Joseph,Columbus,1977-02-13,47,Male,Silver,"7055 Shane Turnpike Road, Laval, Quebec, A8V 5A2, Canada",Laval,QC,Canada,Maria,Williams,Relative,(142) 900-1851,2025-02-09,"Halifax, NS"
Timothe,Rivera,1997-04-22,27,Male,Platinum,"7535 Stewart Estate Lane, Kingston, Ontario, E6K 9Y2, Canada",Kingston,ON,Canada,Courtney,Koch,Relative,(314) 519-5151,2025-02-09,"Halifax, NS"
Brandi,Rivera,1993-02-21,31,Female,Platinum,"7535 Stewart Estate Lane, Kingston, Ontario, E6K 9Y2, Canada",Kingston,ON,Canada,Courtney,Koch,Relative,(314) 519-5151,2025-02-09,"Halifax, NS"
Kaitlyn,Hines,1977-10-29,47,Female,Gold,"662 Heather Ridge Terrace, Halifax, Nova Scotia, P3C 3K1, Canada",Halifax,NS,Canada,Shawn,Esparza,Relative,(903) 802-1462,2025-02-09,"Halifax, NS"
Jason,Hines,1974-04-11,50,Male,Gold,"662 Heather Ridge Terrace, Halifax, Nova Scotia, P3C 3K1, Canada",Halifax,NS,Canada,Shawn,Esparza,Relative,(903) 802-1462,2025-02-09,"Halifax, NS"
Valerie,Caldwell,1990-12-23,34,Female,Silver,"4797 Glass Ford Avenue, Saskatoon, Saskatchewan, V8S8K3, Canada",Saskatoon,SK,Canada,Tiffany,Thomas,Relative,(590) 960-5673,2025-02-09,"Halifax, NS"
Mark,Caldwell,1981-05-27,43,Male,Silver,"4797 Glass Ford Avenue, Saskatoon, Saskatchewan, V8S8K3, Canada",Saskatoon,SK,Canada,Tiffany,Thomas,Relative,(590) 960-5673,2025-02-09,"Halifax, NS"
Todd,Nelson,1982-01-27,43,Male,Gold,"3726 Dunn Ports Crescent, Hamilton, Ontario, X5R4L8, Canada",Hamilton,ON,Canada,Tom,Olson,Other,(265) 960-8931,2025-02-09,"Halifax, NS"
Alisha,Nelson,1985-08-29,39,Female,Gold,"3726 Dunn Ports Crescent, Hamilton, Ontario, X5R4L8, Canada",Hamilton,ON,Canada,Tom,Olson,Other,(265) 960-8931,2025-02-09,"Halifax, NS"
Rebecca,Beck,2000-09-30,24,Female,Gold,"139 Victor Vista Street, Kingston, Ontario, J3H 6H5, Canada",Kingston,ON,Canada,Patricia,Burke,Relative,(533) 905-5044,2025-02-09,"Halifax, NS"
Derek,Lyons,1945-06-02,79,Male,Silver,"5084 Reed Avenue Court, Sherbrooke, Quebec, H2M8K8, Canada",Sherbrooke,QC,Canada,Marc,Buckley,Relative,(111) 096-1798,2025-02-09,"Halifax, NS"
Katherine,Lyons,1946-05-28,78,Female,Silver,"5084 Reed Avenue Court, Sherbrooke, Quebec, H2M8K8, Canada",Sherbrooke,QC,Canada,Marc,Buckley,Relative,(111) 096-1798,2025-02-09,"Halifax, NS"
Darryl,Long,1993-05-30,31,Male,Silver,"3983 Benjamin Locks Boulevard, Lethbridge, Alberta, C2C 8V8, Canada",Lethbridge,AB,Canada,Mark,Watkins,Relative,(981) 960-2752,2025-02-09,"Halifax, NS"
April,Long,1993-08-19,31,Female,Silver,"3983 Benjamin Locks Boulevard, Lethbridge, Alberta, C2C 8V8, Canada",Lethbridge,AB,Canada,Mark,Watkins,Relative,(981) 960-2752,2025-02-09,"Halifax, NS"
Megan,Pittman,1958-05-20,66,Female,Silver,"214 Swanson Throughway Terrace, Kingston, Ontario, Y2L 3P3, Canada",Kingston,ON,Canada,Robert,Gutierrez,Other,(572) 240-2990,2025-02-09,"Halifax, NS"
Donald,Pittman,1955-05-21,69,Male,Silver,"214 Swanson Throughway Terrace, Kingston, Ontario, Y2L 3P3, Canada",Kingston,ON,Canada,Robert,Gutierrez,Other,(572) 240-2990,2025-02-09,"Halifax, NS"
Joshua,Hayden,1949-05-15,75,Male,Silver,"2811 Jennifer Locks Avenue, Kingston, Ontario, L1L6N1, Canada",Kingston,ON,Canada,Jason,Munoz,Relative,(125) 625-3135,2025-02-09,"Halifax, NS"
Samantha,Hayden,1952-02-11,72,Female,Silver,"2811 Jennifer Locks Avenue, Kingston, Ontario, L1L6N1, Canada",Kingston,ON,Canada,Jason,Munoz,Relative,(125) 625-3135,2025-02-09,"Halifax, NS"
William,Barker,1981-09-11,43,Male,Silver,"3360 Jenna Mission Street, Red Deer, Alberta, H1E 4P3, Canada",Red Deer,AB,Canada,Emily,Flores,Relative,(077) 046-1172,2025-02-09,"Halifax, NS"
Stephanie,Barker,1985-01-22,40,Female,Silver,"3360 Jenna Mission Street, Red Deer, Alberta, H1E 4P3, Canada",Red Deer,AB,Canada,Emily,Flores,Relative,(077) 046-1172,2025-02-09,"Halifax, NS"
Brittany,Williams,1984-12-10,40,Female,Silver,"8037 Johnson Underpass Road, Hamilton, Ontario, P2E9E3, Canada",Hamilton,ON,Canada,Eric,Baker,Relative,(229) 712-5296,2025-02-09,"Halifax, NS"
Peter,Williams,1982-03-11,42,Female,Silver,"8037 Johnson Underpass Road, Hamilton, Ontario, P2E9E3, Canada",Hamilton,ON,Canada,Eric,Baker,Relative,(229) 712-5296,2025-02-09,"Halifax, NS"
Caleb,Lane,1982-08-13,42,Male,Gold,"6800 Matthew Mountains Drive, Toronto, Ontario, N7C 7L3, Canada",Toronto,ON,Canada,Kevin,Rose,Relative,(235) 679-8363,2025-02-09,"Halifax, NS"
Kerry,Lane,1987-07-27,37,Female,Gold,"6800 Matthew Mountains Drive, Toronto, Ontario, N7C 7L3, Canada",Toronto,ON,Canada,Kevin,Rose,Relative,(235) 679-8363,2025-02-09,"Halifax, NS"
Billy,Lynn,1959-10-16,65,Male,Silver,"9875 Burns Grove Avenue, Toronto, Ontario, Y5L2A7, Canada",Toronto,ON,Canada,Katie,Brown,Other,(663) 436-2948,2025-02-09,"Halifax, NS"
Francesca,Lynn,1954-12-01,70,Female,Silver,"9875 Burns Grove Avenue, Toronto, Ontario, Y5L2A7, Canada",Toronto,ON,Canada,Katie,Brown,Other,(663) 436-2948,2025-02-09,"Halifax, NS"
Sean,Lucas,1996-10-05,28,Male,Silver,"4654 David Square Terrace, Quebec City, Quebec, V7J1E1, Canada",Quebec City,QC,Canada,Stephen,Lyons,Relative,(473) 235-4940,2025-02-09,"Halifax, NS"
Laura,Lucas,1997-11-25,27,Female,Silver,"4654 David Square Terrace, Quebec City, Quebec, V7J1E1, Canada",Quebec City,QC,Canada,Stephen,Lyons,Relative,(473) 235-4940,2025-02-09,"Halifax, NS"
Chad,Woods,1980-07-12,44,Male,Gold,"6563 Wong Parkways Road, Toronto, Ontario, V5J3J9, Canada",Toronto,ON,Canada,Tracy,Aguilar,Relative,(094) 388-2211,2025-02-09,"Halifax, NS"
Christopher,Flowers,1961-02-22,63,Male,Gold,"4590 Yates Cliffs Avenue, Brandon, Manitoba, G2P2G5, Canada",Brandon,MB,Canada,Roger,Martinez,Relative,(004) 254-8821,2025-02-09,"Halifax, NS"
Christian,Flowers,1966-11-21,58,Male,Gold,"4590 Yates Cliffs Avenue, Brandon, Manitoba, G2P2G5, Canada",Brandon,MB,Canada,Roger,Martinez,Relative,(004) 254-8821,2025-02-09,"Halifax, NS"
Lisa,Reynolds,1961-06-25,63,Female,Silver,"6291 Hall Courts Court, Montreal, Quebec, P9E 7K3, Canada",Montreal,QC,Canada,Meghan,Morris,Other,(234) 268-3441,2025-02-09,"Halifax, NS"
David,Reynolds,1960-05-21,64,Male,Silver,"6291 Hall Courts Court, Montreal, Quebec, P9E 7K3, Canada",Montreal,QC,Canada,Meghan,Morris,Other,(234) 268-3441,2025-02-09,"Halifax, NS"
Emily,Lin,1992-11-22,32,Female,Gold,"7861 William Shore Terrace, Ottawa, Ontario, G6L3M3, Canada",Ottawa,ON,Canada,Barbara,Davis,Relative,(170) 876-0146,2025-02-09,"Halifax, NS"
Carla,Wilkins,1998-07-11,26,Female,Gold,"665 Mayo Trail Lane, Toronto, Ontario, E8G 1N4, Canada",Toronto,ON,Canada,Robert,Marshall,Other,(960) 940-9705,2025-02-09,"Halifax, NS"
Steven,Christian,1964-05-22,60,Male,Silver,"7396 Carl Plain Road, Laval, Quebec, R1E 8Y8, Canada",Laval,QC,Canada,Andrew,Brady,Relative,(251) 762-9833,2025-02-09,"Halifax, NS"
David,Shelton,1986-01-12,39,Male,Gold,"3999 Ronald Trail Boulevard, Sydney, Nova Scotia, K6L7J7, Canada",Sydney,NS,Canada,Nicholas,Bartlett,Relative,(978) 559-8217,2025-02-09,"Halifax, NS"
Andrea,Sawyer,1975-01-24,50,Female,Silver,"7479 Linda Row Road, Quebec City, Quebec, B6M1V3, Canada",Quebec City,QC,Canada,Kenneth,Castaneda,Relative,(908) 197-4005,2025-02-09,"Halifax, NS"
Brad,Sawyer,1973-11-05,51,Male,Silver,"7479 Linda Row Road, Quebec City, Quebec, B6M1V3, Canada",Quebec City,QC,Canada,Kenneth,Castaneda,Relative,(908) 197-4005,2025-02-09,"Halifax, NS"
Carl,Sawyer,2007-06-30,17,Male,Silver,"7479 Linda Row Road, Quebec City, Quebec, B6M1V3, Canada",Quebec City,QC,Canada,Kenneth,Castaneda,Relative,(908) 197-4005,2025-02-09,"Halifax, NS"
Mary,Miller,1982-07-13,42,Female,Gold,"8652 Vanessa Rapids Drive, Dartmouth, Nova Scotia, G1L 7K3, Canada",Dartmouth,NS,Canada,Vincent,Castillo,Relative,(360) 914-9851,2025-02-09,"Halifax, NS"
Rebecca,Miller,2016-08-23,8,Female,Gold,"8652 Vanessa Rapids Drive, Dartmouth, Nova Scotia, G1L 7K3, Canada",Dartmouth,NS,Canada,Vincent,Castillo,Relative,(360) 914-9851,2025-02-09,"Halifax, NS"
Tiffany,Green,1988-03-03,36,Female,Silver,"8001 Monique Manors Road, Edmonton, Alberta, Y9K 7H7, Canada",Edmonton,AB,Canada,Alexis,Kirk,Relative,(351) 187-1813,2025-02-09,"Halifax, NS"
Kristin,Green,1984-12-21,40,Female,Silver,"8001 Monique Manors Road, Edmonton, Alberta, Y9K 7H7, Canada",Edmonton,AB,Canada,Alexis,Kirk,Relative,(351) 187-1813,2025-02-09,"Halifax, NS"
Andrew,Green,2009-05-27,15,Male,Silver,"8001 Monique Manors Road, Edmonton, Alberta, Y9K 7H7, Canada",Edmonton,AB,Canada,Alexis,Kirk,Relative,(351) 187-1813,2025-02-09,"Halifax, NS"
James,Carter,1971-06-01,53,Male,Silver,"6815 Brown Road Avenue, Kingston, Ontario, K1H9C6, Canada",Kingston,ON,Canada,Ronald,Hatfield,Relative,(369) 294-4551,2025-02-09,"Halifax, NS"
Megan,Carter,1974-04-10,50,Female,Silver,"6815 Brown Road Avenue, Kingston, Ontario, K1H9C6, Canada",Kingston,ON,Canada,Ronald,Hatfield,Relative,(369) 294-4551,2025-02-09,"Halifax, NS"
Kayla,Carter,2013-03-31,11,Female,Silver,"6815 Brown Road Avenue, Kingston, Ontario, K1H9C6, Canada",Kingston,ON,Canada,Ronald,Hatfield,Relative,(369) 294-4551,2025-02-09,"Halifax, NS"
Keith,Carter,2006-09-30,18,Male,Silver,"6815 Brown Road Avenue, Kingston, Ontario, K1H9C6, Canada",Kingston,ON,Canada,Ronald,Hatfield,Relative,(369) 294-4551,2025-02-09,"Halifax, NS"
Bethany,Yoder,1986-03-10,38,Female,Gold,"3365 Warren Ramp Lane, Surrey, British Columbia, E3M 5M5, Canada",Surrey,BC,Canada,Justin,Joseph,Relative,(559) 991-0157,2025-02-09,"Halifax, NS"
Stephen,Yoder,1985-06-06,39,Male,Gold,"3365 Warren Ramp Lane, Surrey, British Columbia, E3M 5M5, Canada",Surrey,BC,Canada,Justin,Joseph,Relative,(559) 991-0157,2025-02-09,"Halifax, NS"
Gabrielle,Rodriguez,1972-08-29,52,Female,Gold,"6637 Sara Throughway Terrace, Kingston, Ontario, C9T 7X3, Canada",Kingston,ON,Canada,Kelly,Cox,Relative,(286) 342-5563,2025-02-09,"Halifax, NS"
Raymond,Rodriguez,1971-12-30,53,Male,Gold,"6637 Sara Throughway Terrace, Kingston, Ontario, C9T 7X3, Canada",Kingston,ON,Canada,Kelly,Cox,Relative,(286) 342-5563,2025-02-09,"Halifax, NS"
Diane,Garcia,1974-06-25,50,Female,Gold,"1498 John Cove Boulevard, Hamilton, Ontario, X6R 2Y6, Canada",Hamilton,ON,Canada,Anna,Chapman,Relative,(680) 447-3149,2025-02-09,"Halifax, NS"
Jesse,Hodges,1950-04-25,74,Male,Silver,"3055 Alicia Flats Terrace, Laval, Quebec, L2K3J6, Canada",Laval,QC,Canada,Wendy,Miller,Relative,(616) 202-8123,2025-02-09,"Halifax, NS"
